Itemid,Judgement
001-177124,violation
001-140004,violation
001-154400,violation
001-154161,violation
001-180501,violation
001-180494,violation
001-147866,violation
001-60953,violation
001-70720,violation
001-80464,violation
001-104794,violation
001-104804,violation
001-202525,violation
001-57675,violation
001-198482,violation
001-108867,violation
001-108787,violation
001-85553,violation
001-85489,violation
001-186114,violation
001-77249,violation
001-81209,violation
001-189758,violation
001-142196,violation
001-58372,violation
001-89066,violation
001-88748,violation
001-203154,violation
001-203000,violation
001-103767,violation
001-84461,violation
001-109750,violation
001-196375,violation
001-195990,violation
001-177934,violation
001-177936,violation
001-177937,violation
001-164198,violation
001-58205,violation
001-58012,violation
001-146671,violation
001-170857,violation
001-157705,violation
001-168865,violation
001-113300,violation
001-90535,violation
001-90537,violation
001-90600,violation
001-98363,violation
001-187732,violation
001-73291,violation
001-82825,violation
001-78330,violation
001-78101,violation
001-184495,violation
001-184499,violation
001-184519,violation
001-206513,violation
001-206353,violation
001-206274,violation
001-200441,violation
001-200321,violation
001-111394,violation
001-93854,violation
001-138556,violation
001-167094,violation
001-180289,violation
001-179846,violation
001-179869,violation
001-180160,violation
001-107703,violation
001-160215,violation
001-173249,violation
001-118393,violation
001-76098,violation
001-84054,violation
001-92094,violation
001-91936,violation
001-91938,violation
001-91941,violation
001-194246,violation
001-98909,violation
001-98443,violation
001-107044,violation
001-107014,violation
001-106893,violation
001-107087,violation
001-59623,violation
001-174645,violation
001-119970,violation
001-58128,violation
001-114769,violation
001-203982,violation
001-188988,violation
001-81728,violation
001-72346,violation
001-72015,violation
001-79301,violation
001-102256,violation
001-201859,violation
001-72093,violation
001-81950,violation
001-81966,violation
001-97049,violation
001-205132,violation
001-205223,violation
001-205218,violation
001-205219,violation
001-205060,violation
001-205065,violation
001-204811,violation
001-204854,violation
001-204843,violation
001-204845,violation
001-204846,violation
001-204847,violation
001-114776,violation
001-94854,violation
001-94979,violation
001-201323,violation
001-201327,violation
001-110263,violation
001-79604,violation
001-183123,violation
001-182451,violation
001-178890,violation
001-178506,violation
001-83580,violation
001-99221,violation
001-194613,violation
001-194448,violation
001-194450,violation
001-75591,violation
001-66843,violation
001-126541,violation
001-126542,violation
001-205817,violation
001-161952,violation
001-175668,violation
001-175498,violation
001-175973,violation
001-175484,violation
001-175466,violation
001-175681,violation
001-175159,violation
001-175160,violation
001-90651,violation
001-90933,violation
001-58288,violation
001-152425,violation
001-128050,violation
001-145784,violation
001-160430,violation
001-160429,violation
001-187927,violation
001-187819,violation
001-187820,violation
001-187903,violation
001-72521,violation
001-114240,violation
001-89558,violation
001-90340,violation
001-78954,violation
001-182226,violation
001-182170,violation
001-57608,violation
001-61638,violation
001-163613,violation
001-177232,violation
001-171484,violation
001-171485,violation
001-171486,violation
001-171487,violation
001-171488,violation
001-171489,violation
001-122885,violation
001-147470,violation
001-104495,violation
001-203828,violation
001-60554,violation
001-71297,violation
001-186684,violation
001-68175,violation
001-195542,violation
001-101257,violation
001-60416,violation
001-113410,violation
001-202528,violation
001-202559,violation
001-87642,violation
001-57844,violation
001-80079,violation
001-80038,violation
001-70678,violation
001-70731,violation
001-192769,violation
001-192771,violation
001-192653,violation
001-108615,violation
001-108588,violation
001-100404,violation
001-85679,violation
001-181382,violation
001-153308,violation
001-61827,violation
001-162211,violation
001-162206,violation
001-172558,violation
001-172559,violation
001-172562,violation
001-159762,violation
001-148286,violation
001-148181,violation
001-126347,violation
001-57906,no-violation
001-60936,no-violation
001-80897,no-violation
001-142192,no-violation
001-88775,no-violation
001-112101,no-violation
001-101310,no-violation
001-155631,no-violation
001-58222,no-violation
001-158200,no-violation
001-57843,no-violation
001-57993,no-violation
001-91499,no-violation
001-98684,no-violation
001-98688,no-violation
001-107110,no-violation
001-57515,no-violation
001-59617,no-violation
001-58262,no-violation
001-94202,no-violation
001-140910,no-violation
001-57522,no-violation
001-60003,no-violation
001-61637,no-violation
001-163356,no-violation
001-61080,no-violation
001-122763,no-violation
001-122183,no-violation
001-57574,no-violation
001-57527,no-violation
001-57435,no-violation
001-186667,no-violation
001-85152,no-violation
001-60413,no-violation
001-113335,no-violation
001-93475,no-violation
001-159203,no-violation
